time,ensemble_survival,MTE,RPD,surface,penalty,sim_mode,distance,W2,MMD
4.0,0.10499999672174454,,,paraboloid,T+F,learned_latent,0.2,0.43803040778828806,0.07328367978334427
5.0,0.08500000089406967,,,paraboloid,T+F,learned_latent,0.2,1.4639417388845526,0.24345165491104126
0.1,0.9799999594688416,0.29602331044722574,0.23954789537517918,paraboloid,T+F,learned_ambient,0.2,,
0.2,0.9449999928474426,0.4966114185474537,0.3003213731750936,paraboloid,T+F,learned_ambient,0.2,,
0.5,0.7400000095367432,0.6441250878411371,0.34000289887293034,paraboloid,T+F,learned_ambient,0.2,,
1.0,0.5649999976158142,0.8611636541586006,0.34470415134628213,paraboloid,T+F,learned_ambient,0.2,9.028676350036504,0.165843203663826
2.0,0.3449999988079071,,,paraboloid,T+F,learned_ambient,0.2,7.192567771244645,0.20836827158927917
3.0,0.19999998807907104,,,paraboloid,T+F,learned_ambient,0.2,7.702524363461727,0.20166370272636414
4.0,0.10499999672174454,,,paraboloid,T+F,learned_ambient,0.2,12.72840516079976,0.44304952025413513
5.0,0.08500000089406967,,,paraboloid,T+F,learned_ambient,0.2,13.819783679691689,0.2822166383266449
0.1,0.9799999594688416,0.6083693212392379,0.49230444147629626,paraboloid,T+F+K,learned_latent,0.2,,
0.2,0.9449999928474426,0.8536609468005952,0.516243924714767,paraboloid,T+F+K,learned_latent,0.2,,
0.5,0.7400000095367432,0.6845337120262353,0.36133268344699226,paraboloid,T+F+K,learned_latent,0.2,,
1.0,0.5649999976158142,0.8990998394721377,0.3598891402861541,paraboloid,T+F+K,learned_latent,0.2,2.208574104752992,0.15372835099697113
2.0,0.3449999988079071,,,paraboloid,T+F+K,learned_latent,0.2,1.8911300534489706,0.17445243895053864
3.0,0.19999998807907104,,,paraboloid,T+F+K,learned_latent,0.2,3.188924491024234,0.22659827768802643
4.0,0.10499999672174454,,,paraboloid,T+F+K,learned_latent,0.2,0.5092103144478832,0.08726038038730621
5.0,0.08500000089406967,,,paraboloid,T+F+K,learned_latent,0.2,1.6561794083377581,0.2820507884025574
0.1,0.9799999594688416,0.3720651743363361,0.3010824698906874,paraboloid,T+F+K,learned_ambient,0.2,,
0.2,0.9449999928474426,0.6430229308113219,0.3888624432542653,paraboloid,T+F+K,learned_ambient,0.2,,
0.5,0.7400000095367432,0.8576644175761455,0.45272012182201066,paraboloid,T+F+K,learned_ambient,0.2,,
1.0,0.5649999976158142,1.129026632393356,0.45192358651823367,paraboloid,T+F+K,learned_ambient,0.2,5.467907466347912,0.15676870942115784
2.0,0.3449999988079071,,,paraboloid,T+F+K,learned_ambient,0.2,15.773813504850075,0.2113552987575531
3.0,0.19999998807907104,,,paraboloid,T+F+K,learned_ambient,0.2,7.618441952793493,0.22713765501976013
4.0,0.10499999672174454,,,paraboloid,T+F+K,learned_ambient,0.2,14.019762466685025,0.46460750699043274
5.0,0.08500000089406967,,,paraboloid,T+F+K,learned_ambient,0.2,12.563098930669748,0.3707566261291504
0.1,0.9799999594688416,1.3891553294901946,0.9613172147377015,paraboloid,baseline,learned_latent,0.4,,
