N,D,K_pairs,surface,seed,condition,E_mu,E_Sigma,drift_loss,diff_loss,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,MMD@1.0,survival@1.0,ae_loss,recon_per_dim,phase1_converged
50,201,99,hyperbolic_paraboloid,9042,baseline,0.3813,1.1087,0.00048,6.9e-05,1.3793,2.131,2.7537,1.7433,0.2471,0.76,,,
50,201,99,hyperbolic_paraboloid,9042,K(Phat),0.1906,0.4651,0.000299,3.5e-05,1.1247,2.0375,2.7521,1.4158,0.1342,0.76,,,
100,11,4,paraboloid,42,baseline,0.0329,0.0804,0.007069,0.005579,1.0948,2.2519,2.692,1.9189,0.2262,0.765,,,
100,11,4,paraboloid,42,K(Phat),0.0208,0.0895,0.003232,0.004556,1.0679,2.1984,2.5853,1.8242,0.2254,0.765,,,
100,11,4,paraboloid,1042,baseline,0.0556,0.0442,0.009768,0.013506,1.0527,2.0681,2.6889,1.8574,0.1949,0.72,,,
100,11,4,paraboloid,1042,K(Phat),0.0322,0.0463,0.006721,0.01306,1.0587,2.0518,2.6318,1.7785,0.189,0.72,,,
100,11,4,paraboloid,2042,baseline,0.0257,0.0386,0.008041,0.006234,1.5551,3.0204,3.4384,1.932,0.2288,0.785,,,
100,11,4,paraboloid,2042,K(Phat),0.0179,0.0584,0.004408,0.005471,1.5537,3.0072,3.3892,1.8686,0.2219,0.785,,,
100,11,4,paraboloid,3042,baseline,0.0152,0.0115,0.011493,0.007658,1.0856,2.0674,2.7652,1.8651,0.2398,0.745,,,
100,11,4,paraboloid,3042,K(Phat),0.0099,0.0214,0.009359,0.007209,1.086,2.0493,2.7277,1.8534,0.2422,0.745,,,
100,11,4,paraboloid,4042,baseline,0.0228,0.0141,0.004943,0.002891,1.2055,2.3576,2.6553,1.7739,0.229,0.76,,,
100,11,4,paraboloid,4042,K(Phat),0.012,0.0194,0.003296,0.00257,1.2102,2.3482,2.623,1.7436,0.2268,0.76,,,
100,11,4,paraboloid,5042,baseline,0.0381,0.0976,0.012408,0.006539,1.1263,2.2229,2.8187,1.9469,0.2592,0.765,,,
100,11,4,paraboloid,5042,K(Phat),0.0113,0.0893,0.00428,0.004092,1.1121,2.1812,2.7682,2.0053,0.2673,0.765,,,
100,11,4,paraboloid,6042,baseline,0.0469,0.1884,0.003717,0.005981,1.1969,2.5021,2.9297,2.0084,0.2691,0.73,,,
100,11,4,paraboloid,6042,K(Phat),0.0288,0.0529,0.003094,0.005499,1.1631,2.4509,2.8767,2.0231,0.2785,0.73,,,
100,11,4,paraboloid,7042,baseline,0.0183,0.0566,0.007384,0.006663,1.204,2.1826,2.8581,1.8519,0.2398,0.765,,,
100,11,4,paraboloid,7042,K(Phat),0.0172,0.0468,0.00682,0.006278,1.2096,2.1856,2.812,1.8568,0.2479,0.765,,,
100,11,4,paraboloid,8042,baseline,0.0283,0.0145,0.008545,0.008865,0.5845,1.3333,1.7196,1.7859,0.2154,0.795,,,
100,11,4,paraboloid,8042,K(Phat),0.0167,0.0294,0.003482,0.007034,0.5763,1.3295,1.7036,1.7488,0.2155,0.795,,,
