surface,D,dynamics,condition,seed,recon,tangent,E_mu,E_Sigma,sigma_min_p5,sigma_min_median,stage2_loss,stage3_loss
hyperbolic_paraboloid,11,mb,T,3042,3.7140357149341567e-06,1.505280852143187e-05,6.388634210452437e-05,3.3425239962525666e-06,1.0693601369857788,1.2129161357879639,0.001217034923943824,5.127386698079915e-07
hyperbolic_paraboloid,11,mb,F,3042,3.0689867509698324e-05,0.014759702607989311,0.022994037717580795,0.0021010921336710453,1.2904807329177856,1.4204353094100952,0.006669306246164654,6.677276854004179e-05
hyperbolic_paraboloid,11,mb,C,3042,0.0012737053700468757,0.25088104605674744,0.4578987956047058,0.07899755239486694,10.133919715881348,11.217233657836914,0.05631446944815772,0.0010605484546561325
hyperbolic_paraboloid,11,mb,T+F,3042,2.5129609908121478e-08,1.2220893040648662e-05,2.6594145310809836e-05,1.7735162600729382e-06,1.2926925420761108,1.3393442630767822,0.0015245731005312077,1.2701540340133632e-07
hyperbolic_paraboloid,11,mb,ATLAS,4042,0.0004162775691259991,0.02142631635069847,0.5956035256385803,0.0005550358328036964,,,,
hyperbolic_paraboloid,11,mb,baseline,4042,1.1425596643345093e-06,0.0009453936945647001,0.001237963791936636,8.204165351344272e-05,1.207566738128662,1.2337712049484253,0.0004171692063599559,3.8005498806472005e-06
hyperbolic_paraboloid,11,mb,T,4042,7.37702645313799e-07,9.796314770937897e-06,4.689370689447969e-05,1.7259678770642495e-06,1.1193827390670776,1.2091338634490967,0.00041217636317014694,1.8494057891465282e-07
hyperbolic_paraboloid,11,mb,F,4042,3.5514970394698054e-05,0.01811443269252777,0.04028257727622986,0.0032640756107866764,1.2746608257293701,1.3882057666778564,0.00033301286124956926,7.943878206008646e-05
hyperbolic_paraboloid,11,mb,C,4042,0.002302635969086127,0.46125903725624084,1.3052701950073242,0.18588131666183472,12.929931640625,12.974781036376953,0.6675247507435935,0.0016741140113611306
hyperbolic_paraboloid,11,mb,T+F,4042,1.3127618620439369e-07,1.6068701370386407e-05,5.5035026889527217e-05,4.199274371785577e-06,1.242358684539795,1.3084056377410889,0.0005118483802237149,1.1881171449853614e-07
hyperbolic_paraboloid,11,mb,ATLAS,5042,0.00021324423141777515,0.006967372726649046,0.7105750441551208,0.00076426996383816,,,,
hyperbolic_paraboloid,11,mb,baseline,5042,1.8532990163128653e-06,0.00129098875913769,0.002593690063804388,0.00015420641284435987,1.1175965070724487,1.204789638519287,0.0005541430229121554,6.088133951769643e-06
hyperbolic_paraboloid,11,mb,T,5042,2.1141361437251116e-06,1.333478849119274e-05,7.545707921963185e-05,3.2278330763801932e-06,1.1609941720962524,1.2100626230239868,0.0004641722438723913,3.0127212978316364e-07
hyperbolic_paraboloid,11,mb,F,5042,3.579999214376915e-05,0.016743477433919907,0.037586238235235214,0.002729433123022318,1.297928810119629,1.3858983516693115,0.0005927950717575316,7.819210025315572e-05
hyperbolic_paraboloid,11,mb,C,5042,0.002629560333761302,0.4676533639431,1.7810373306274414,0.19558532536029816,13.472369194030762,13.518935203552246,0.3553769311734608,0.0017991828000439064
hyperbolic_paraboloid,11,mb,T+F,5042,7.847702156802618e-08,2.5750918211997487e-05,0.00010416771692689508,5.617103852273431e-06,1.3073680400848389,1.344495415687561,0.001720742488812123,1.2968803478738016e-07
hyperbolic_paraboloid,11,mb,ATLAS,6042,0.0006071225824681195,0.02174338325858116,0.6164892315864563,0.0007137864013202488,,,,
hyperbolic_paraboloid,11,mb,baseline,6042,1.723072604032826e-06,0.0008217873983085155,0.0023490493185818195,0.00014794770686421543,1.0811591148376465,1.1876039505004883,0.00043301910461325733,4.823501740247593e-06
hyperbolic_paraboloid,11,mb,T,6042,1.1512471577258443e-06,1.353965126327239e-05,8.142965816659853e-05,2.7414903343014885e-06,1.177020788192749,1.2057360410690308,0.004444133839569986,3.279447895465637e-07
hyperbolic_paraboloid,11,mb,F,6042,2.516556361859495e-05,0.01081993617117405,0.024062026292085648,0.0016751441871747375,1.3470016717910767,1.4432188272476196,0.00046769006959428746,5.064497028277921e-05
hyperbolic_paraboloid,11,mb,C,6042,0.0023755764758045025,0.4695315361022949,1.794485330581665,0.2009352445602417,17.555086135864258,17.589984893798828,0.5422388953821999,0.001755341504966574
hyperbolic_paraboloid,11,mb,T+F,6042,7.38271368887085e-08,1.1339815500832628e-05,4.571661338559352e-05,3.052221472898964e-06,1.2812070846557617,1.3648372888565063,0.0007214637464910213,8.331304712783094e-08
hyperbolic_paraboloid,11,mb,ATLAS,7042,0.0002114325761795044,0.00882343202829361,0.9821786880493164,0.0006895364494994283,,,,
hyperbolic_paraboloid,11,mb,baseline,7042,3.141058352246711e-06,0.0014594609383493662,0.003286950057372451,0.00018058557179756463,1.094802975654602,1.2173177003860474,0.0013556240758459484,7.840414582460653e-06
hyperbolic_paraboloid,11,mb,T,7042,9.987923311365938e-06,3.9551334339194e-05,0.00014406244736164808,1.5120018360903487e-05,1.1241925954818726,1.1606495380401611,0.0007325360784307122,5.132120374387991e-07
hyperbolic_paraboloid,11,mb,F,7042,2.6939383877271954e-05,0.011089972220361233,0.02148568257689476,0.001678398228250444,1.215689778327942,1.3412166833877563,0.001320532922233854,5.815576670491802e-05
hyperbolic_paraboloid,11,mb,C,7042,0.002388586544177749,0.45408526062965393,1.2719389200210571,0.16211599111557007,14.272912979125977,14.312588691711426,0.6355277683053698,0.001786466155733381
