surface,config,seed,time,MTE_sde,MTE_ode,E_mu,E_Sigma
hyperbolic_paraboloid,T+F,8042,0.2,1.2835404590893817,0.1090166187286377,0.027588171884417534,0.016942938789725304
hyperbolic_paraboloid,T+F,8042,0.5,1.6114790063155324,0.4250053864359204,0.05586794763803482,0.05844540894031525
hyperbolic_paraboloid,T+F,8042,1.0,1.8706777236040901,0.273954345703125,,
hyperbolic_paraboloid,T+F+K,8042,0.1,1.093676262095495,0.12308994293212891,0.008847899734973907,0.02085811272263527
hyperbolic_paraboloid,T+F+K,8042,0.2,1.2628191148912584,0.14148490905761718,0.010359104722738266,0.017539504915475845
hyperbolic_paraboloid,T+F+K,8042,0.5,1.6588559358016304,0.29419336927698014,0.020810848101973534,0.026388494297862053
hyperbolic_paraboloid,T+F+K,8042,1.0,1.8529370282147382,0.3564607259389517,,
hyperbolic_paraboloid,T+F,9042,0.1,1.0284141114520542,0.1649336814880371,0.04890419915318489,0.08478890359401703
hyperbolic_paraboloid,T+F,9042,0.2,1.3223023467011503,0.19041023254394532,0.0346187949180603,0.08938382565975189
hyperbolic_paraboloid,T+F,9042,0.5,1.431397129112566,0.31621796193749013,0.03860270977020264,0.07994402945041656
hyperbolic_paraboloid,T+F,9042,1.0,1.7645242130055148,0.5187284096904184,,
hyperbolic_paraboloid,T+F+K,9042,0.1,1.0474217093769629,0.11804168701171874,0.019879698753356934,0.09987189620733261
hyperbolic_paraboloid,T+F+K,9042,0.2,1.357029815840591,0.13086731910705565,0.021162036806344986,0.06155167892575264
hyperbolic_paraboloid,T+F+K,9042,0.5,1.5035983569001499,0.2337001609802246,0.023719795048236847,0.04592109099030495
hyperbolic_paraboloid,T+F+K,9042,1.0,1.6534650079135238,0.3704685731367631,,
quartic_dome,T+F,42,0.1,0.7512936232677058,0.12539743423461913,0.15798965096473694,0.031870268285274506
quartic_dome,T+F,42,0.2,1.2674062506196462,0.1678645706176758,0.265156090259552,0.03811071813106537
quartic_dome,T+F,42,0.5,1.9381685045030381,0.29180971125966493,0.3989419937133789,0.07765708118677139
quartic_dome,T+F,42,1.0,2.1393131565403296,0.4078662141840509,,
quartic_dome,T+F+K,42,0.1,0.8467962091619318,0.1104663372039795,0.1778537631034851,0.057006850838661194
quartic_dome,T+F+K,42,0.2,1.2948600492329176,0.15125614834814957,0.21374616026878357,0.05266892910003662
quartic_dome,T+F+K,42,0.5,1.9419310078818417,0.267068036737289,0.5789538621902466,0.12334927916526794
quartic_dome,T+F+K,42,1.0,2.1228617647268475,0.3818247151929279,,
quartic_dome,T+F,1042,0.1,0.9640584673200335,0.15824801445007325,0.4529741406440735,0.298856645822525
quartic_dome,T+F,1042,0.2,1.3243383853993518,0.24639957427978515,0.5225411057472229,0.3431112766265869
quartic_dome,T+F,1042,0.5,1.6669244122651456,0.458237419128418,0.3404107689857483,0.29803794622421265
quartic_dome,T+F,1042,1.0,1.6812418787932593,0.6920224290397299,,
quartic_dome,T+F+K,1042,0.1,0.9584624621332908,0.14743505477905272,0.46423444151878357,0.16199612617492676
quartic_dome,T+F+K,1042,0.2,1.327040313392557,0.23485450744628905,0.5591698884963989,0.19289648532867432
quartic_dome,T+F+K,1042,0.5,1.6909872055053712,0.43342962119785056,0.29503440856933594,0.14531442523002625
quartic_dome,T+F+K,1042,1.0,1.7127258818028337,0.6839746775360882,,
quartic_dome,T+F,2042,0.1,0.7280014972297513,0.09046385765075683,0.34480080008506775,0.08951477706432343
quartic_dome,T+F,2042,0.2,1.1943863832234034,0.1303261947631836,0.22346735000610352,0.0773228332400322
quartic_dome,T+F,2042,0.5,2.103833162331883,0.22228078842163085,0.5819324254989624,0.09421399980783463
quartic_dome,T+F,2042,1.0,2.2961264913396318,0.31598061931376553,,
quartic_dome,T+F+K,2042,0.1,0.7361542367693131,0.07913443565368652,0.19791525602340698,0.05712902173399925
quartic_dome,T+F+K,2042,0.2,1.221346354616281,0.1323383617401123,0.1540353149175644,0.04180032014846802
quartic_dome,T+F+K,2042,0.5,2.1076347002016953,0.2814857276710304,0.32459595799446106,0.038287773728370667
quartic_dome,T+F+K,2042,1.0,2.338605644289127,0.3544138858192845,,
quartic_dome,T+F,3042,0.1,1.0387295532226561,0.11381893157958985,0.8415831923484802,0.20876164734363556
quartic_dome,T+F,3042,0.2,1.8920544746594552,0.16328868865966797,0.8011779189109802,0.25656113028526306
quartic_dome,T+F,3042,0.5,2.1626597878461826,0.27939361572265625,0.6804161071777344,0.2776215970516205
quartic_dome,T+F,3042,1.0,2.14045751953125,0.45312007904052737,,
quartic_dome,T+F+K,3042,0.1,1.0271423031585385,0.11066659927368164,0.2122168093919754,0.10620857030153275
quartic_dome,T+F+K,3042,0.2,1.8767180266203705,0.16918277740478516,0.29710716009140015,0.13807669281959534
quartic_dome,T+F+K,3042,0.5,2.2633019195743866,0.3027409144810268,0.20717698335647583,0.112883061170578
quartic_dome,T+F+K,3042,1.0,2.03866110557367,0.4153798725790606,,
quartic_dome,T+F,4042,0.1,1.072718174613301,0.1445041847229004,0.38500362634658813,0.06982582807540894
quartic_dome,T+F,4042,0.2,1.3635873459092336,0.18338951110839843,0.2020176649093628,0.0581744983792305
quartic_dome,T+F,4042,0.5,2.4794614935196893,0.2834498596191406,0.6376045942306519,0.07847300171852112
quartic_dome,T+F,4042,1.0,2.289575241904222,0.4262687683105469,,
quartic_dome,T+F+K,4042,0.1,1.0681078361742424,0.09327844619750976,0.18798743188381195,0.03257667273283005
quartic_dome,T+F+K,4042,0.2,1.3043098449707031,0.14791819061895814,0.18855784833431244,0.028264109045267105
quartic_dome,T+F+K,4042,0.5,2.2544963886211447,0.2958703292043586,0.14827822148799896,0.024824880063533783
quartic_dome,T+F+K,4042,1.0,2.19938227335612,0.43603347519696767,,
quartic_dome,T+F,5042,0.1,0.8210922241210937,0.24598739624023438,0.823599636554718,0.7378534078598022
quartic_dome,T+F,5042,0.2,1.0495835923656975,0.30026233673095704,0.7613235712051392,0.8268568515777588
quartic_dome,T+F,5042,0.5,1.7292289056721524,0.4718644446933392,1.0084789991378784,1.0089731216430664
quartic_dome,T+F,5042,1.0,2.148071849018062,0.6134387057251726,,
quartic_dome,T+F+K,5042,0.1,0.8417626953125,0.2729780960083008,0.5169657468795776,0.7015293836593628
quartic_dome,T+F+K,5042,0.2,1.0562703658123405,0.3918683624267578,0.529885470867157,1.02035653591156
quartic_dome,T+F+K,5042,0.5,1.720610378840782,0.5271559893074682,0.5403749942779541,1.0735204219818115
quartic_dome,T+F+K,5042,1.0,2.222440931532118,0.6482425611846301,,
quartic_dome,T+F,6042,0.1,0.7908386537178078,0.14297210693359375,0.1747945100069046,0.21941858530044556
quartic_dome,T+F,6042,0.2,1.18026717078877,0.18578474044799806,0.4207334816455841,0.2366487979888916
quartic_dome,T+F,6042,0.5,1.5713277652563638,0.303856258392334,0.3117325007915497,0.18780475854873657
quartic_dome,T+F,6042,1.0,1.803701961741728,0.4519683224471969,,
quartic_dome,T+F+K,6042,0.1,0.7714996337890625,0.11093796730041504,0.12241071462631226,0.09524860978126526
quartic_dome,T+F+K,6042,0.2,1.1807295411497682,0.17852638244628907,0.18662956357002258,0.12904620170593262
quartic_dome,T+F+K,6042,0.5,1.6312643116918104,0.3239469325288813,0.18166615068912506,0.16005796194076538
quartic_dome,T+F+K,6042,1.0,1.9041620427911932,0.5103336952252095,,
quartic_dome,T+F,7042,0.1,0.70850830078125,0.08672542572021484,0.19087284803390503,0.06847415119409561
quartic_dome,T+F,7042,0.2,1.0917980112928025,0.1315166759490967,0.23979537189006805,0.08268609642982483
quartic_dome,T+F,7042,0.5,1.5347331482687114,0.22586704254150392,0.22443662583827972,0.06010109931230545
quartic_dome,T+F,7042,1.0,1.9067801483406508,0.33533220914141015,,
quartic_dome,T+F+K,7042,0.1,0.7275618728326292,0.08811166763305664,0.08792787790298462,0.02353714220225811
quartic_dome,T+F+K,7042,0.2,1.0937308646537163,0.17080676974962705,0.09667370468378067,0.02534068375825882
quartic_dome,T+F+K,7042,0.5,1.4441132576234879,0.24795892385131155,0.07483454048633575,0.03291797637939453
quartic_dome,T+F+K,7042,1.0,1.8005426080377251,0.3522609095419607,,
quartic_dome,T+F,8042,0.1,0.8811802673339844,0.13820703506469725,0.5312312841415405,0.13949814438819885
quartic_dome,T+F,8042,0.2,1.1577343940734863,0.1929134750366211,0.7982350587844849,0.14278970658779144
quartic_dome,T+F,8042,0.5,1.6984906364889707,0.33276546478271485,0.39203357696533203,0.13467949628829956
quartic_dome,T+F,8042,1.0,1.9091878575602854,0.4940428924560547,,
quartic_dome,T+F+K,8042,0.1,0.8708220672607422,0.13225468635559082,0.2543249726295471,0.13870520889759064
quartic_dome,T+F+K,8042,0.2,1.1251877880601024,0.1774236297607422,0.3928045630455017,0.10298369824886322
quartic_dome,T+F+K,8042,0.5,1.6048915235302117,0.31726893889598357,0.2636917233467102,0.1346791386604309
quartic_dome,T+F+K,8042,1.0,1.743185620789134,0.5248622894287109,,
quartic_dome,T+F,9042,0.1,1.1990597212134892,0.13058977127075194,0.5449867248535156,0.06351177394390106
quartic_dome,T+F,9042,0.2,1.4115840252781413,0.16899385452270507,0.22766388952732086,0.06961426883935928
quartic_dome,T+F,9042,0.5,1.754814779682524,0.26625694274902345,0.2545374631881714,0.07473336160182953
quartic_dome,T+F,9042,1.0,1.8387332950626407,0.390445242122728,,
